community_area,total_cases
25,254865
8,164260
43,143689
28,139109
29,131886
23,129964
32,127380
24,122011
71,119820
67,110655
49,110306
69,107906
68,102852
44,99082
66,99045
6,95300
26,83980
22,82512
61,77756
27,77542
19,77522
46,75653
30,71870
53,66546
7,65756
1,64566
42,62978
3,61639
2,56787
38,55924
15,52995
73,51452
16,47130
77,43956
40,43497
31,43063
35,41574
58,39422
14,38971
63,38914
70,38582
21,37815
75,33675
56,32168
4,31507
33,31237
51,30702
65,30611
41,29394
76,27088
60,26551
17,26230
39,25831
20,25175
48,23961
5,22952
45,21495
52,20885
54,20401
10,19442
34,17668
11,17530
50,17473
62,16501
64,16473
59,16214
57,15461
72,15296
13,14652
37,13617
36,11298
55,10248
18,10121
74,9389
12,8233
47,6026
9,4441
0,9
